Symptoms,Disease
abusing alcohol,social phobia
anxiety and nervousness,social phobia
delusions or hallucinations,social phobia
depression,social phobia
depressive or psychotic symptoms,social phobia
excessive anger,social phobia
excessive appetite,social phobia
fears and phobias,social phobia
insomnia,social phobia
ache all over,somatization disorder
anxiety and nervousness,somatization disorder
depression,somatization disorder
dizziness,somatization disorder
fainting,somatization disorder
elbow weakness,spermatocele
frequent urination,spermatocele
mass in scrotum,spermatocele
pain in testicles,spermatocele
retention of urine,spermatocele
cough,spherocytosis
elbow weakness,spherocytosis
skin rash,spherocytosis
back pain,spina bifida
disturbance of memory,spina bifida
eye moves abnormally,spina bifida
headache,spina bifida
involuntary urination,spina bifida
skin lesion,spina bifida
arm pain,spinal stenosis
back pain,spinal stenosis
headache,spinal stenosis
hip pain,spinal stenosis
leg pain,spinal stenosis
loss of sensation,spinal stenosis
low back pain,spinal stenosis
lower body pain,spinal stenosis
neck pain,spinal stenosis
paresthesia,spinal stenosis
problems with movement,spinal stenosis
shoulder pain,spinal stenosis
back mass or lump,spondylitis
back pain,spondylitis
hip pain,spondylitis
leg pain,spondylitis
low back pain,spondylitis
lower body pain,spondylitis
neck pain,spondylitis
side pain,spondylitis
stiffness all over,spondylitis
ache all over,spondylosis
arm pain,spondylosis
back pain,spondylosis
hip pain,spondylosis
knee pain,spondylosis
leg pain,spondylosis
loss of sensation,spondylosis
low back pain,spondylosis
lower body pain,spondylosis
neck pain,spondylosis
paresthesia,spondylosis
shoulder pain,spondylosis
knee pain,sporotrichosis
wrist pain,sporotrichosis
ankle pain,sprain or strain
arm pain,sprain or strain
back pain,sprain or strain
foot or toe pain,sprain or strain
hand or finger pain,sprain or strain
headache,sprain or strain
knee pain,sprain or strain
leg pain,sprain or strain
low back pain,sprain or strain
neck pain,sprain or strain
shoulder pain,sprain or strain
wrist pain,sprain or strain
abnormal movement of eyelid,stenosis of the tear duct
cough,stenosis of the tear duct
lacrimation,stenosis of the tear duct
symptoms of eye,stenosis of the tear duct
white discharge from eye,stenosis of the tear duct
blood in urine,stress incontinence
frequent urination,stress incontinence
hot flashes,stress incontinence
intermenstrual bleeding,stress incontinence
involuntary urination,stress incontinence
painful urination,stress incontinence
retention of urine,stress incontinence
abnormal involuntary movements,stroke
depressive or psychotic symptoms,stroke
difficulty speaking,stroke
disturbance of memory,stroke
dizziness,stroke
focal weakness,stroke
headache,stroke
problems with movement,stroke
seizures,stroke
slurring words,stroke
abnormal appearing skin,stye
eye burns or stings,stye
eye redness,stye
eyelid lesion or rash,stye
eyelid swelling,stye
itchiness of eye,stye
mass on eyelid,stye
pain in eye,stye
skin swelling,stye
swollen eye,stye
symptoms of eye,stye
blood in stool,subacute thyroiditis
pain during pregnancy,subacute thyroiditis
palpitations,subacute thyroiditis
problems during pregnancy,subacute thyroiditis
uterine contractions,subacute thyroiditis
bleeding from eye,subconjunctival hemorrhage
diminished vision,subconjunctival hemorrhage
eye redness,subconjunctival hemorrhage
facial pain,subconjunctival hemorrhage
foreign body sensation in eye,subconjunctival hemorrhage
headache,subconjunctival hemorrhage
pain in eye,subconjunctival hemorrhage
symptoms of eye,subconjunctival hemorrhage
depressive or psychotic symptoms,subdural hemorrhage
dizziness,subdural hemorrhage
facial pain,subdural hemorrhage
headache,subdural hemorrhage
irritable infant,subdural hemorrhage
vomiting,subdural hemorrhage
anxiety and nervousness,substance-related mental disorder
delusions or hallucinations,substance-related mental disorder
depressive or psychotic symptoms,substance-related mental disorder
drug abuse,substance-related mental disorder
feeling ill,substance-related mental disorder
hostile behavior,substance-related mental disorder
insomnia,substance-related mental disorder
cross-eyed,syndrome of inappropriate secretion of adh (siadh)
dizziness,syndrome of inappropriate secretion of adh (siadh)
feeling ill,syndrome of inappropriate secretion of adh (siadh)
headache,syphilis
muscle pain,syphilis
skin rash,syphilis
vaginal discharge,syphilis
back pain,syringomyelia
fainting,syringomyelia
headache,syringomyelia
shoulder pain,syringomyelia
ache all over,systemic lupus erythematosis (sle)
bones are painful,systemic lupus erythematosis (sle)
hand or finger stiffness or tightness,systemic lupus erythematosis (sle)
knee pain,systemic lupus erythematosis (sle)
leg swelling,systemic lupus erythematosis (sle)
sharp chest pain,systemic lupus erythematosis (sle)
cough,teething syndrome
decreased appetite,teething syndrome
diarrhea,teething syndrome
ear pain,teething syndrome
fever,teething syndrome
nasal congestion,teething syndrome
redness in ear,teething syndrome
symptoms of infants,teething syndrome
temper problems,teething syndrome
back pain,temporary or benign blood in urine
blood in urine,temporary or benign blood in urine
frequent urination,temporary or benign blood in urine
involuntary urination,temporary or benign blood in urine
lower abdominal pain,temporary or benign blood in urine
painful urination,temporary or benign blood in urine
regurgitation,temporary or benign blood in urine
regurgitation.1,temporary or benign blood in urine
retention of urine,temporary or benign blood in urine
sharp abdominal pain,temporary or benign blood in urine
suprapubic pain,temporary or benign blood in urine
symptoms of bladder,temporary or benign blood in urine
diminished hearing,temporomandibular joint disorder
ear pain,temporomandibular joint disorder
facial pain,temporomandibular joint disorder
headache,temporomandibular joint disorder
nasal congestion,temporomandibular joint disorder
neck pain,temporomandibular joint disorder
pain in eye,temporomandibular joint disorder
sore throat,temporomandibular joint disorder
ankle pain,tendinitis
arm pain,tendinitis
foot or toe pain,tendinitis
hand or finger pain,tendinitis
hand or finger swelling,tendinitis
hip pain,tendinitis
knee pain,tendinitis
leg pain,tendinitis
shoulder pain,tendinitis
wrist pain,tendinitis
anxiety and nervousness,tension headache
back cramps or spasms,tension headache
chills,tension headache
dizziness,tension headache
headache,tension headache
nausea,tension headache
neck pain,tension headache
neck stiffness or tightness,tension headache
anxiety and nervousness,testicular cancer
diminished hearing,testicular cancer
mass in scrotum,testicular cancer
fatigue,testicular disorder
hoarse voice,testicular disorder
impotence,testicular disorder
loss of sex drive,testicular disorder
symptoms of the scrotum and testes,testicular disorder
back pain,testicular torsion
emotional symptoms,testicular torsion
pain in testicles,testicular torsion
sharp abdominal pain,testicular torsion
swelling of scrotum,testicular torsion
symptoms of the scrotum and testes,testicular torsion
chest tightness,thoracic aortic aneurysm
dizziness,thoracic aortic aneurysm
fatigue,thoracic aortic aneurysm
jaundice,thoracic aortic aneurysm
sharp abdominal pain,thoracic aortic aneurysm
sharp chest pain,thoracic aortic aneurysm
shortness of breath,thoracic aortic aneurysm
arm pain,thoracic outlet syndrome
decreased appetite,thoracic outlet syndrome
hand or finger pain,thoracic outlet syndrome
loss of sensation,thoracic outlet syndrome
sharp chest pain,thoracic outlet syndrome
shoulder pain,thoracic outlet syndrome
back pain,threatened pregnancy
blood clots during menstrual periods,threatened pregnancy
cramps and spasms,threatened pregnancy
intermenstrual bleeding,threatened pregnancy
lower abdominal pain,threatened pregnancy
pelvic pain,threatened pregnancy
problems during pregnancy,threatened pregnancy
sharp abdominal pain,threatened pregnancy
spotting or bleeding during pregnancy,threatened pregnancy
uterine contractions,threatened pregnancy
vaginal discharge,threatened pregnancy
bleeding gums,thrombocytopenia
blood in stool,thrombocytopenia
blood in urine,thrombocytopenia
fatigue,thrombocytopenia
irregular appearing scalp,thrombocytopenia
nosebleed,thrombocytopenia
sharp chest pain,thrombocytopenia
ache all over,thrombophlebitis
arm pain,thrombophlebitis
arm swelling,thrombophlebitis
foot or toe pain,thrombophlebitis
leg pain,thrombophlebitis
leg swelling,thrombophlebitis
lymphedema,thrombophlebitis
skin on leg or foot looks infected,thrombophlebitis
skin swelling,thrombophlebitis
difficulty in swallowing,thyroid cancer
fatigue,thyroid cancer
neck mass,thyroid cancer
swollen lymph nodes,thyroid cancer
difficulty in swallowing,thyroid disease
lump in throat,thyroid disease
neck mass,thyroid disease
throat feels tight,thyroid disease
back weakness,thyroid nodule
difficulty in swallowing,thyroid nodule
diminished hearing,thyroid nodule
fatigue,thyroid nodule
hoarse voice,thyroid nodule
neck mass,thyroid nodule
throat feels tight,thyroid nodule
abnormal involuntary movements,tic (movement) disorder
abnormal movement of eyelid,tic (movement) disorder
depressive or psychotic symptoms,tic (movement) disorder
headache,tic (movement) disorder
problems with movement,tic (movement) disorder
symptoms of eye,tic (movement) disorder
chest tightness,tietze syndrome
cough,tietze syndrome
difficulty breathing,tietze syndrome
loss of sensation,tietze syndrome
nausea,tietze syndrome
rib pain,tietze syndrome
sharp chest pain,tietze syndrome
shortness of breath,tietze syndrome
diminished hearing,tinnitus of unknown cause
dizziness,tinnitus of unknown cause
ear pain,tinnitus of unknown cause
headache,tinnitus of unknown cause
hoarse voice,tinnitus of unknown cause
itchy ear(s),tinnitus of unknown cause
plugged feeling in ear,tinnitus of unknown cause
ringing in ear,tinnitus of unknown cause
facial pain,tooth abscess
gum pain,tooth abscess
jaw swelling,tooth abscess
lip swelling,tooth abscess
mouth pain,tooth abscess
neck swelling,tooth abscess
pain in gums,tooth abscess
peripheral edema,tooth abscess
skin swelling,tooth abscess
toothache,tooth abscess
bleeding gums,tooth disorder
ear pain,tooth disorder
facial pain,tooth disorder
gum pain,tooth disorder
headache,tooth disorder
jaw swelling,tooth disorder
mouth ulcer,tooth disorder
pain in gums,tooth disorder
peripheral edema,tooth disorder
toothache,tooth disorder
abnormal involuntary movements,torticollis
arm pain,torticollis
headache,torticollis
neck cramps or spasms,torticollis
neck pain,torticollis
neck stiffness or tightness,torticollis
shoulder pain,torticollis
throat swelling,torticollis
abnormal involuntary movements,toxic multinodular goiter
double vision,toxic multinodular goiter
fatigue,toxic multinodular goiter
involuntary urination,toxic multinodular goiter
irregular heartbeat,toxic multinodular goiter
cough,tracheitis
fever,tracheitis
hoarse voice,tracheitis
nasal congestion,tracheitis
shortness of breath,tracheitis
sneezing,tracheitis
sore throat,tracheitis
depressive or psychotic symptoms,transient ischemic attack
difficulty speaking,transient ischemic attack
disturbance of memory,transient ischemic attack
dizziness,transient ischemic attack
focal weakness,transient ischemic attack
headache,transient ischemic attack
loss of sensation,transient ischemic attack
paresthesia,transient ischemic attack
symptoms of the face,transient ischemic attack
weakness,transient ischemic attack
knee lump or mass,trichinosis
nasal congestion,trichinosis
lower abdominal pain,trichomonas infection
nausea,trichomonas infection
pain during pregnancy,trichomonas infection
sharp abdominal pain,trichomonas infection
unpredictable menstruation,trichomonas infection
vaginal discharge,trichomonas infection
vaginal itching,trichomonas infection
vomiting,trichomonas infection
anxiety and nervousness,tricuspid valve disease
emotional symptoms,tricuspid valve disease
bones are painful,trigger finger (finger disorder)
hand or finger cramps or spasms,trigger finger (finger disorder)
hand or finger pain,trigger finger (finger disorder)
hand or finger stiffness or tightness,trigger finger (finger disorder)
hand or finger swelling,trigger finger (finger disorder)
wrist pain,trigger finger (finger disorder)
congestion in chest,tuberculosis
cough,tuberculosis
shortness of breath,tuberculosis
vaginal itching,tuberculosis
depressive or psychotic symptoms,tuberous sclerosis
elbow weakness,tuberous sclerosis
seizures,tuberous sclerosis
depression,turner syndrome
emotional symptoms,turner syndrome
fever,typhoid fever
wrist pain,typhoid fever
abusing alcohol,urethral disorder
involuntary urination,urethral disorder
painful urination,urethral disorder
retention of urine,urethral disorder
sharp abdominal pain,urethral disorder
side pain,urethral disorder
suprapubic pain,urethral disorder
vomiting,urethral disorder
blood in urine,urethral stricture
involuntary urination,urethral stricture
painful urination,urethral stricture
retention of urine,urethral stricture
suprapubic pain,urethral stricture
symptoms of bladder,urethral stricture
symptoms of prostate,urethral stricture
symptoms of the scrotum and testes,urethral stricture
elbow weakness,urethral valves
lower abdominal pain,urethral valves
sharp abdominal pain,urethral valves
side pain,urethral valves
suprapubic pain,urethral valves
blood in urine,urethritis
frequent urination,urethritis
painful urination,urethritis
penile discharge,urethritis
penis pain,urethritis
retention of urine,urethritis
sharp abdominal pain,urethritis
suprapubic pain,urethritis
vaginal itching,urethritis
blood in urine,urge incontinence
constipation,urge incontinence
excessive urination at night,urge incontinence
frequent urination,urge incontinence
involuntary urination,urge incontinence
painful urination,urge incontinence
retention of urine,urge incontinence
symptoms of bladder,urge incontinence
vaginal itching,urge incontinence
back pain,urinary tract obstruction
blood in urine,urinary tract obstruction
excessive urination at night,urinary tract obstruction
frequent urination,urinary tract obstruction
painful urination,urinary tract obstruction
retention of urine,urinary tract obstruction
sharp abdominal pain,urinary tract obstruction
side pain,urinary tract obstruction
suprapubic pain,urinary tract obstruction
symptoms of prostate,urinary tract obstruction
back cramps or spasms,uterine atony
blood in urine,uterine atony
intermenstrual bleeding,uterine atony
lower abdominal pain,uterine atony
pain during pregnancy,uterine atony
problems during pregnancy,uterine atony
sharp abdominal pain,uterine atony
spotting or bleeding during pregnancy,uterine atony
uterine contractions,uterine atony
groin mass,uterine cancer
pelvic pain,uterine cancer
vaginal bleeding after menopause,uterine cancer
cramps and spasms,uterine fibroids
heavy menstrual flow,uterine fibroids
intermenstrual bleeding,uterine fibroids
involuntary urination,uterine fibroids
lower abdominal pain,uterine fibroids
painful menstruation,uterine fibroids
pelvic pain,uterine fibroids
sharp abdominal pain,uterine fibroids
unpredictable menstruation,uterine fibroids
diminished vision,uveitis
elbow weakness,uveitis
symptoms of eye,uveitis
emotional symptoms,vacterl syndrome
suprapubic pain,vacterl syndrome
blood clots during menstrual periods,vaginal cyst
cramps and spasms,vaginal cyst
heavy menstrual flow,vaginal cyst
intermenstrual bleeding,vaginal cyst
lower abdominal pain,vaginal cyst
pain during pregnancy,vaginal cyst
pelvic pain,vaginal cyst
problems during pregnancy,vaginal cyst
sharp abdominal pain,vaginal cyst
spotting or bleeding during pregnancy,vaginal cyst
vaginal discharge,vaginal cyst
vaginal pain,vaginal cyst
itching of skin,vaginal yeast infection
lower abdominal pain,vaginal yeast infection
painful urination,vaginal yeast infection
sharp abdominal pain,vaginal yeast infection
suprapubic pain,vaginal yeast infection
vaginal discharge,vaginal yeast infection
vaginal itching,vaginal yeast infection
vaginal pain,vaginal yeast infection
vaginal redness,vaginal yeast infection
vulvar irritation,vaginal yeast infection
lower abdominal pain,vaginismus
pain during intercourse,vaginismus
pelvic pain,vaginismus
sharp abdominal pain,vaginismus
suprapubic pain,vaginismus
vaginal pain,vaginismus
lower abdominal pain,vaginitis
pain during intercourse,vaginitis
pain during pregnancy,vaginitis
painful urination,vaginitis
pelvic pain,vaginitis
sharp abdominal pain,vaginitis
suprapubic pain,vaginitis
vaginal discharge,vaginitis
vaginal itching,vaginitis
vaginal pain,vaginitis
vaginal redness,vaginitis
fever,valley fever
hand or finger pain,valley fever
shortness of breath,valley fever
shoulder swelling,valley fever
groin pain,varicocele of the testicles
infertility,varicocele of the testicles
involuntary urination,varicocele of the testicles
lower abdominal pain,varicocele of the testicles
mass in scrotum,varicocele of the testicles
pain in testicles,varicocele of the testicles
pain of the anus,varicocele of the testicles
skin growth,varicocele of the testicles
swelling of scrotum,varicocele of the testicles
symptoms of the scrotum and testes,varicocele of the testicles
ache all over,varicose veins
leg cramps or spasms,varicose veins
leg lump or mass,varicose veins
leg pain,varicose veins
leg swelling,varicose veins
lymphedema,varicose veins
peripheral edema,varicose veins
skin lesion,varicose veins
dizziness,vasculitis
foot or toe swelling,vasculitis
headache,vasculitis
leg pain,vasculitis
leg stiffness or tightness,vasculitis
lymphedema,vasculitis
skin lesion,vasculitis
skin rash,vasculitis
abnormal appearing skin,venous insufficiency
burning chest pain,venous insufficiency
fluid retention,venous insufficiency
leg cramps or spasms,venous insufficiency
leg pain,venous insufficiency
lymphedema,venous insufficiency
skin lesion,venous insufficiency
skin on leg or foot looks infected,venous insufficiency
back pain,vertebrobasilar insufficiency
dizziness,vertebrobasilar insufficiency
leg pain,vertebrobasilar insufficiency
sharp chest pain,vertebrobasilar insufficiency
blood in urine,vesicoureteral reflux
fever,vesicoureteral reflux
involuntary urination,vesicoureteral reflux
suprapubic pain,vesicoureteral reflux
abnormal appearing skin,viral exanthem
cough,viral exanthem
decreased appetite,viral exanthem
fever,viral exanthem
itching of skin,viral exanthem
nasal congestion,viral exanthem
pulling at ears,viral exanthem
skin rash,viral exanthem
skin swelling,viral exanthem
vomiting,viral exanthem
abnormal appearing skin,viral warts
acne or pimples,viral warts
bumps on penis,viral warts
lip swelling,viral warts
skin growth,viral warts
skin lesion,viral warts
skin moles,viral warts
skin swelling,viral warts
warts,viral warts
hand or finger pain,vitamin a deficiency
knee lump or mass,vitamin a deficiency
disturbance of memory,vitamin b12 deficiency
fatigue,vitamin b12 deficiency
hot flashes,vitamin b12 deficiency
knee stiffness or tightness,vitamin b12 deficiency
problems with movement,vitamin b12 deficiency
arm stiffness or tightness,vitamin d deficiency
fatigue,vitamin d deficiency
hot flashes,vitamin d deficiency
diminished vision,vitreous degeneration
double vision,vitreous degeneration
eye redness,vitreous degeneration
foreign body sensation in eye,vitreous degeneration
lacrimation,vitreous degeneration
pain in eye,vitreous degeneration
spots or clouds in vision,vitreous degeneration
symptoms of eye,vitreous degeneration
blindness,vitreous hemorrhage
diminished vision,vitreous hemorrhage
lacrimation,vitreous hemorrhage
pain in eye,vitreous hemorrhage
spots or clouds in vision,vitreous hemorrhage
symptoms of eye,vitreous hemorrhage
difficulty speaking,vocal cord polyp
hoarse voice,vocal cord polyp
sore throat,vocal cord polyp
throat feels tight,vocal cord polyp
throat swelling,vocal cord polyp
depressive or psychotic symptoms,volvulus
elbow weakness,volvulus
sharp abdominal pain,volvulus
vomiting,volvulus
blood in stool,von willebrand disease
muscle swelling,von willebrand disease
nosebleed,von willebrand disease
back pain,vulvar cancer
emotional symptoms,vulvar cancer
insomnia,vulvar cancer
back pain,vulvodynia
burning abdominal pain,vulvodynia
cramps and spasms,vulvodynia
lower abdominal pain,vulvodynia
nausea,vulvodynia
pain during pregnancy,vulvodynia
painful urination,vulvodynia
pelvic pain,vulvodynia
sharp abdominal pain,vulvodynia
side pain,vulvodynia
vaginal discharge,vulvodynia
vaginal pain,vulvodynia
abusing alcohol,wernicke korsakoff syndrome
anxiety and nervousness,wernicke korsakoff syndrome
depressive or psychotic symptoms,wernicke korsakoff syndrome
cough,whooping cough
nasal congestion,whooping cough
shortness of breath,whooping cough
sore throat,whooping cough
vomiting,whooping cough
cough,wilson disease
insomnia,wilson disease
sleepiness,wilson disease
diaper rash,yeast infection
frequent urination,yeast infection
pelvic pain,yeast infection
sharp abdominal pain,yeast infection
skin rash,yeast infection
suprapubic pain,yeast infection
vaginal discharge,yeast infection
vaginal itching,yeast infection
vaginal pain,yeast infection
